tile,target,LOCAL,GLOBAL,FOREST,TARGET
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,Sediment-Laden Water,133732.69442608336,4386673.455861973,8099.075026674968,5391969.781595805
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,Foam,0.0,0.0,0.0,282.6459499483771
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,Turbid Water,1010.9774780069677,1010.9774780069677,101.14805670247134,1331757.4044088882
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,Shallow Water,0.0,0.0,0.0,25731.92146787376
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,Cloud Shadows,0.0,0.0,0.0,10080.053020827094
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,Wakes,16891.36241709647,16448.420408237605,15831.049434635057,51906.98277995026
S2B_MSIL1C_20200918T160839_N0209_R140_T16PCC_20200918T194532_resampled_msk,Mixed Water,115.13683965838023,120.27764364261532,266.1524383976639,1165.6897486301284
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Marine Debris,788.0748120324912,788.0748120324912,202.10875432613278,788.0748120309429
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Natural Organic Material,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Ship,1543.7854072130315,1543.7854072130315,1296.9490444820858,1543.7854072134205
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Clouds,0.0,0.0,0.0,211286.9060061031
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Marine Water,47.57630727796662,47.57630727796662,0.0,6309.007289010881
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Sediment-Laden Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Foam,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Turbid Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Shallow Water,15672.518667354412,15672.518667354412,6842.149664035594,27667.18769150998
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Cloud Shadows,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Wakes,1730.0582030225455,1730.0582030225455,0.0,1829.4474115261573
S2A_MSIL1C_20201204T152641_N0209_R025_T18QYF_20201204T172051_resampled_msk,Mixed Water,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Marine Debris,526.604225416632,526.604225416632,526.604225416632,526.604225416351
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Natural Organic Material,0.0,0.0,0.0,0.0
S2A_MSIL1C_20201212T161651_N0209_R140_T16PCC_20201212T195535_resampled_msk,Ship,0.0,0.0,0.0,0.0
