,Minimum,Maximum,Total
LOCAL,0.0020845934740291875,0.038873387776047805,0.009666817574689693
GLOBAL,0.002624025338450879,0.04048678718576662,0.013574295637617362
FOREST,0.004990498895428906,0.004999983410804875,0.0049972621438586955
